rhea_participant	pred	xrefs	chebi	chebi label	ambigs	ambigs label	ambig_relations	inchitest
(12R),18-dihydroxy-(9Z)-octadecenoate	related	UniProt	CHEBI:91300	(9Z,12R)-12,18-dihydroxyoctadecenoate				different_inchikeys
(12R)-hydroperoxy-(5Z,8Z,10E,14Z)-eicosatetraenoate	related	UniProt	CHEBI:75230	12(R)-HPETE(1-)				different_inchikeys
(12R)-hydroxy-(5Z,8Z,10E,14Z)-eicosatetraenoate	related	UniProt	CHEBI:83343	12(R)-HETE(1-)				different_inchikeys
(12R)-hydroxy-(9Z)-octadecenoate	related	UniProt	CHEBI:91295	ricinoleate				different_inchikeys
(12R)-hydroxy-(9Z)-octadecenoyl-CoA	related	UniProt	CHEBI:139559	(9Z,12R)-12-hydroxyoctadec-9-enoyl-CoA(4-)				different_inchikeys
(12R-hydroxy-9Z-octadecenoyl)-sn-glycero-3-phosphocholine	related	UniProt	CHEBI:140446	ricinoleoyl-sn-glycero-3-phosphocholine				different_inchikeys
(12S)-hydroperoxy-(14R,15S)-epoxy-(5Z,8Z,10E)-eicosatrienoate	related	UniProt	CHEBI:132063	(12S)-hydroperoxy-(14R,15S)-epoxy-(5Z,8Z,10E)-icosatrienoate				different_inchikeys
(12S)-hydroperoxy-(14S,15R)-epoxy-(5Z,8Z,10E)-eicosatrienoate	related	UniProt	CHEBI:132065	(12S)-hydroperoxy-(14S,15R)-epoxy-(5Z,8Z,10E)-icosatrienoate				different_inchikeys
(12S)-hydroperoxy-(5Z,8Z,10E,14Z)-eicosatetraenoate	related	UniProt	CHEBI:57444	12(S)-HPETE(1-)				different_inchikeys
(12S)-hydroperoxy-(8Z,10E,14Z)-eicosatrienoate	related	UniProt	CHEBI:78047	12(S)-HPE(8,10,14)TrE(1-)				different_inchikeys
(12S)-hydroxy-(5Z,8E,10E)-heptadecatrienoate	related	UniProt	CHEBI:90694	12(S)-HHTrE(1-)				different_inchikeys
(12S)-hydroxy-(5Z,8Z,10E,14Z)-eicosatetraenoate	related	UniProt	CHEBI:90680	12(S)-HETE(1-)				different_inchikeys
(12Z,15Z,18Z,21Z,24Z,27Z)-triacontahexaenoyl-CoA	related	UniProt	CHEBI:74315	(12Z,15Z,18Z,21Z,24Z,27Z)-triacontahexaenoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_74593		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(13E)-labda-7,13-dien-15-ol	exact	IUPAC|UniProt	CHEBI:63683	(13E)-labda-7,13-dien-15-ol				different_inchikeys
(13E)-labda-7,13-dien-15-yl diphosphate	related	UniProt	CHEBI:63682	(5S,9S,10S,13E)-labda-7,13-dien-15-yl diphosphate(3-)	related+http://purl.obolibrary.org/obo/CHEBI_63750		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(13R)-S-cysteinyl-(14S)-hydroxy-(4Z,7Z,9E,11E,16Z,19Z)-docosahexaenoate	related	UniProt	CHEBI:137410	(13R)-S-cysteinyl-(14S)-hydroxy-(4Z,7Z,9E,11E,16Z,19Z)-docosahexaenoate(1-)				different_inchikeys
(13R)-S-cysteinylglycinyl-(14S)-hydroxy-(4Z,7Z,9E,11E,16Z,19Z)-docosahexaenoate	related	UniProt	CHEBI:137408	(13R)-glycinylcystein-S-yl-(14S)-hydroxy-(4Z,7Z,9E,11E,16Z,19Z)-docosahexaenoate(1-)				different_inchikeys
(13R)-S-glutathionyl-(14S)-hydroxy-(4Z,7Z,9E,11E,16Z,19Z)-docosahexaenoate	related	UniProt	CHEBI:137407	(13R)-S-glutathionyl-(14S)-hydroxy-(4Z,7Z,9E,11E,16Z,19Z)-docosahexaenoate(2-)				different_inchikeys
(13R)-edaxadiene	exact	UniProt	CHEBI:63178	(13R)-edaxadiene				different_inchikeys
(13R)-hydroperoxy-(9Z,11E)-octadecadienoate	related	UniProt	CHEBI:133985	13(R)-HPODE(1-)				different_inchikeys
(13R)-hydroperoxy-(9Z,11E,15Z)-octadecatrienoate	related	UniProt	CHEBI:133987	(9Z,11E,13R,15Z)-13-hydroperoxyoctadecatrienoate				different_inchikeys
(13R)-hydroxy-(14S,15S)-epoxy-(5Z,8Z,11Z)-eicosatrienoate	related	UniProt	CHEBI:75235	(13R)-hydroxy-(14S,15S)-epoxyicosa-(5Z,8Z,11Z)-trienoate				different_inchikeys
(13R)-hydroxy-(9Z,11E)-octadecadienoate	related	UniProt	CHEBI:136655	13(R)-HODE(1-)				different_inchikeys
(13R)-manoyl oxide	exact	UniProt	CHEBI:138234	(13R)-manoyl oxide				different_inchikeys
(13R,14S)-dihydroxy-(4Z,7Z,9E,11E,16Z,19Z)-docosahexaenoate	exact	UniProt	CHEBI:137442	(13R,14S)-dihydroxy-(4Z,7Z,9E,11E,16Z,19Z)-docosahexaenoate				different_inchikeys
(13S)-edaxadiene	exact	UniProt	CHEBI:63180	(13S)-edaxadiene				different_inchikeys
(13S)-hydroperoxy-(9Z,11E)-octadecadienoate	related	UniProt	CHEBI:57466	13(S)-HPODE(1-)				different_inchikeys
(13S)-hydroperoxy-(9Z,11E,15Z)-octadecatrienoate	related	UniProt	CHEBI:58757	(9Z,11E,13S,15Z)-13-hydroperoxyoctadeca-9,11,15-trienoate				different_inchikeys
